community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth,,,,,,,,,,,,,,,,,,,,,,,,,
左岸香颂,白塘,东沙湖,9,2,板楼,1063,17,51,22546,暂无信息,31.3448,120.771,{东沈浒路北侧靠近星华街},2.31E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
左岸香堤（商住）,嘉定工业区,嘉定新城,2,0,板楼,157,2,30,16619,暂无信息,31.3553,121.263,{德富路1211号},5.01E+12,0.282348934,,,,,,,,,,,,,,,,,,,,,,,,,
左岸香堤（公寓）,嘉定工业区,嘉定新城,Null,0,Null,0,1,0,12017,暂无信息,31.3553,121.263,{德富路1211号近塔秀路},5.01E+12,0.28238342,,,,,,,,,,,,,,,,,,,,,,,,,
左岸88,潍坊,潍坊,5,0,Null,3,3,0,24132,暂无信息,31.2223,121.528,{北张家浜路88号},5.01E+12,-0.008091768,,,,,,,,,,,,,,,,,,,,,,,,,
遵义小区,中山公园,中山公园,59,2.2,Null,1397,62,35,48744,上海新长宁（集团）有限公司,31.2197,121.415,"{天山三村1-49号,遵义路780弄}",5.01E+12,0.212373776,,,,,,,,,,,,,,,,,,,,,,,,,
遵义西大楼,中山公园,中山公园,26,2.5,Null,182,2,20,75077,上海新长宁（集团）有限公司,31.2227,121.416,{遵义路820号},5.01E+12,0.275935387,,,,,,,,,,,,,,,,,,,,,,,,,
遵义路757弄,中山公园,中山公园,25,1.7,Null,212,11,20,55740,新长宁房地产开发有限公司,31.2213,121.415,{遵义路757弄},5.01E+12,0.2822726,,,,,,,,,,,,,,,,,,,,,,,,,
遵义路730号,中山公园,中山公园,27,2,Null,20,2,18,49442,新长宁房地产开发有限公司,31.2208,121.415,{遵义路730号},5.01E+12,0.282286608,,,,,,,,,,,,,,,,,,,,,,,,,
遵义路720号,中山公园,中山公园,27,0,Null,2,2,0,49442,暂无信息,31.2208,121.415,{遵义路720号},5.01E+12,0.282286608,,,,,,,,,,,,,,,,,,,,,,,,,
遵义路700号,中山公园,中山公园,27,1.5,Null,53,2,20,49442,新长宁房地产开发有限公司,31.2205,121.415,{遵义路700号},5.01E+12,0.322673626,,,,,,,,,,,,,,,,,,,,,,,,,
